Year,Lg,W,L,Finish,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%
2023,AL West,42,37,3,79,38.5,34.10,5.03,8.85,1.70,0.11,1.46,4.87,0.51,0.19,3.41,8.66,.259,.334,.444,.778,0.56,0.84,.984
2022,AL West,73,89,3,162,36.9,33.48,3.85,7.81,1.35,0.19,1.17,3.70,0.48,0.17,2.77,9.50,.233,.297,.390,.687,0.52,0.83,.985
2021,AL West,77,85,4,162,37.2,33.56,4.46,8.22,1.64,0.14,1.17,4.27,0.49,0.16,2.86,8.60,.245,.310,.407,.717,0.54,0.81,.985
2020,AL West,26,34,4,60,38.5,33.67,4.90,8.35,1.62,0.13,1.42,4.75,0.35,0.13,3.98,8.17,.248,.332,.430,.762,0.60,0.60,.983
2019,AL West,72,90,4,162,38.6,34.21,4.75,8.44,1.65,0.13,1.36,4.53,0.40,0.12,3.62,7.88,.247,.324,.422,.746,0.57,0.73,.984
2018,AL West,80,82,4,162,37.7,33.78,4.45,8.17,1.54,0.14,1.32,4.26,0.55,0.14,3.17,8.02,.242,.313,.413,.726,0.47,1.07,.987
2017,AL West,80,82,2,162,37.5,33.43,4.38,8.11,1.55,0.09,1.15,4.19,0.84,0.27,3.23,7.40,.243,.315,.397,.712,0.49,0.83,.986
2016,AL West,74,88,4,162,37.3,33.52,4.43,8.70,1.72,0.12,0.96,4.23,0.45,0.21,2.91,6.12,.260,.322,.405,.727,0.60,0.91,.983
2015,AL West,85,77,3,162,37.0,33.44,4.08,8.22,1.50,0.13,1.09,3.83,0.32,0.21,2.69,7.10,.246,.307,.396,.703,0.57,0.67,.984
2014,AL West,98,64,1,162,38.8,34.89,4.77,9.04,1.88,0.19,0.96,4.50,0.50,0.24,3.04,7.81,.259,.322,.406,.728,0.51,0.78,.986
2013,AL West,78,84,3,162,38.6,34.49,4.52,9.11,1.67,0.24,1.01,4.30,0.51,0.21,3.23,7.54,.264,.329,.414,.743,0.69,0.83,.981
2012,AL West,89,73,3,162,37.8,34.17,4.73,9.37,1.69,0.14,1.15,4.52,0.83,0.20,2.77,6.87,.274,.332,.433,.765,0.60,0.87,.984
2011,AL West,86,76,2,162,37.6,34.03,4.12,8.60,1.78,0.21,0.96,3.88,0.83,0.32,2.73,6.70,.253,.313,.402,.715,0.57,0.97,.985
2010,AL West,80,82,3,162,37.6,33.88,4.20,8.41,1.70,0.12,0.96,4.05,0.64,0.32,2.88,6.60,.248,.311,.390,.701,0.70,0.72,.981
2009,AL West,97,65,1,162,38.9,34.70,5.45,9.90,1.81,0.20,1.07,5.19,0.91,0.39,3.38,6.51,.285,.350,.441,.791,0.52,1.07,.986
2008,AL West,100,62,1,162,38.0,34.20,4.72,9.17,1.69,0.15,0.98,4.45,0.80,0.30,2.97,6.09,.268,.330,.413,.743,0.56,0.98,.985
2007,AL West,94,68,1,162,38.3,34.28,5.07,9.74,2.00,0.14,0.76,4.79,0.86,0.34,3.13,5.45,.284,.345,.417,.762,0.62,0.95,.983
2006,AL West,89,73,2,162,38.4,34.62,4.73,9.50,1.91,0.18,0.98,4.55,0.91,0.35,3.00,5.64,.274,.334,.425,.759,0.77,0.95,.979
2005,AL West,95,67,1,162,38.2,34.72,4.70,9.38,1.72,0.19,0.91,4.48,0.99,0.35,2.76,5.23,.270,.325,.409,.734,0.54,0.86,.986
2004,AL West,92,70,1,162,38.9,35.03,5.16,9.90,1.68,0.23,1.00,4.83,0.88,0.28,2.78,5.81,.282,.341,.429,.770,0.56,0.78,.985
2003,AL West,77,85,3,162,37.8,33.87,4.54,9.09,1.70,0.20,0.93,4.24,0.80,0.38,2.94,5.17,.268,.330,.413,.743,0.65,0.85,.982
2002,AL West,99,63,2,162,39.1,35.05,5.25,9.90,2.06,0.20,0.94,5.01,0.72,0.31,2.85,4.97,.282,.341,.433,.774,0.54,0.93,.986
2001,AL West,75,87,3,162,38.4,34.27,4.27,8.93,1.70,0.16,0.98,4.09,0.72,0.32,3.05,6.18,.261,.327,.405,.732,0.64,0.88,.983
2000,AL West,82,80,3,162,39.3,34.74,5.33,9.72,1.91,0.21,1.46,5.17,0.57,0.32,3.75,6.32,.280,.352,.472,.824,0.83,1.12,.978
1999,AL West,70,92,4,162,37.9,33.91,4.39,8.67,1.53,0.14,0.98,4.15,0.44,0.28,3.15,6.31,.256,.322,.395,.717,0.65,0.96,.983
1998,AL West,85,77,2,162,38.8,34.75,4.86,9.44,1.94,0.17,0.91,4.56,0.57,0.28,3.15,6.35,.272,.335,.415,.750,0.65,0.90,.983
1997,AL West,84,78,2,162,39.4,34.74,5.12,9.45,1.72,0.15,0.99,4.78,0.78,0.44,3.81,5.88,.272,.346,.416,.762,0.76,0.86,.980
1996,AL West,70,91,4,161,39.3,35.32,4.73,9.76,1.59,0.15,1.19,4.52,0.33,0.24,3.27,6.05,.276,.339,.431,.770,0.80,0.97,.979
1995,AL West,78,67,2,145,39.2,34.61,5.52,9.59,1.74,0.17,1.28,5.25,0.40,0.27,3.89,6.13,.277,.352,.448,.800,0.66,0.83,.982
1994,AL West,47,68,4,115,38.6,34.29,4.72,9.06,1.55,0.14,1.04,4.50,0.57,0.47,3.50,6.22,.264,.334,.409,.743,0.66,0.96,.983
1993,AL West,71,91,5,162,37.6,33.28,4.22,8.64,1.60,0.15,0.70,3.98,1.04,0.62,3.48,5.74,.260,.331,.380,.711,0.74,0.99,.980
1992,AL West,72,90,5,162,36.5,33.11,3.57,8.06,1.25,0.12,0.54,3.31,0.99,0.62,2.57,5.44,.243,.301,.338,.639,0.83,1.06,.979
1991,AL West,81,81,7,162,37.3,33.77,4.03,8.62,1.51,0.18,0.71,3.75,0.58,0.35,2.77,5.73,.255,.314,.374,.688,0.63,0.96,.984
1990,AL West,80,82,4,162,38.7,34.38,4.26,8.94,1.46,0.17,0.91,3.99,0.43,0.27,3.49,6.17,.260,.329,.391,.720,0.88,1.15,.978
1989,AL West,91,71,3,162,37.7,34.23,4.13,8.78,1.28,0.23,0.90,3.85,0.55,0.25,2.65,6.24,.256,.311,.386,.697,0.59,1.07,.985
1988,AL West,75,87,4,162,38.4,34.46,4.41,9.00,1.59,0.19,0.77,4.07,0.53,0.32,2.90,5.06,.261,.321,.385,.706,0.83,1.08,.979
1987,AL West,75,87,6,162,38.9,34.38,4.75,8.68,1.59,0.16,1.06,4.38,0.77,0.27,3.64,5.72,.252,.326,.401,.727,0.72,1.00,.981
1986,AL West,92,70,1,162,38.9,33.54,4.85,8.56,1.46,0.22,1.03,4.59,0.67,0.26,4.14,5.31,.255,.338,.404,.742,0.66,0.96,.983
1985,AL West,90,72,2,162,38.7,33.59,4.52,8.42,1.33,0.19,0.94,4.23,0.65,0.31,4.00,5.57,.251,.333,.386,.719,0.69,1.25,.982
1984,AL West,81,81,2,162,38.1,33.77,4.30,8.41,1.30,0.19,0.93,4.01,0.49,0.31,3.43,5.73,.249,.319,.381,.700,0.79,1.05,.980
1983,AL West,70,92,5,162,38.9,34.81,4.46,9.06,1.49,0.14,0.95,4.21,0.25,0.24,3.14,5.15,.260,.322,.393,.715,0.95,1.17,.977
1982,AL West,93,69,1,162,39.2,34.15,5.02,9.37,1.65,0.16,1.15,4.69,0.34,0.33,3.78,4.69,.274,.347,.433,.780,0.67,1.06,.983
1981,AL West,51,59,5,110,38.1,33.53,4.33,8.58,1.22,0.15,0.88,3.99,0.40,0.30,3.57,5.19,.256,.330,.380,.710,0.92,1.09,.977
1980,AL West,65,95,6,160,38.3,34.02,4.36,9.01,1.48,0.20,0.66,4.09,0.57,0.39,3.37,5.56,.265,.332,.378,.710,0.84,0.90,.978
1979,AL West,88,74,1,162,39.0,34.26,5.35,9.65,1.49,0.27,1.01,4.99,0.62,0.33,3.64,5.20,.282,.351,.429,.780,0.83,1.06,.978
1978,AL West,87,75,2,162,38.3,33.78,4.27,8.75,1.40,0.17,0.67,3.99,0.53,0.43,3.33,4.21,.259,.330,.370,.700,0.84,0.84,.978
1977,AL West,74,88,5,162,37.7,33.40,4.17,8.52,1.44,0.25,0.81,3.93,0.98,0.55,3.35,5.43,.255,.324,.386,.710,0.91,0.85,.976
1976,AL West,76,86,4,162,37.7,33.24,3.40,7.81,1.30,0.14,0.39,3.15,0.78,0.49,3.30,5.01,.235,.306,.318,.624,0.93,0.86,.977
1975,AL West,72,89,6,161,38.1,33.40,3.90,8.22,1.21,0.25,0.34,3.55,1.37,0.67,3.68,5.04,.246,.322,.328,.650,1.14,1.02,.971
1974,AL West,68,94,6,163,37.3,33.13,3.79,8.42,1.25,0.19,0.58,3.37,0.73,0.48,3.12,4.91,.254,.321,.356,.677,0.90,0.92,.976
1973,AL West,79,83,4,162,38.0,33.98,3.88,8.61,1.13,0.18,0.57,3.67,0.36,0.29,3.14,5.04,.253,.318,.348,.666,0.96,0.94,.975
1972,AL West,75,80,5,155,36.4,33.32,2.93,8.06,1.10,0.17,0.50,2.71,0.37,0.24,2.31,5.48,.242,.293,.330,.623,0.74,0.87,.981
1971,AL West,76,86,4,162,37.5,33.92,3.15,7.85,1.31,0.11,0.59,2.94,0.44,0.21,2.72,5.10,.231,.290,.329,.619,0.81,0.98,.980
1970,AL West,86,76,3,162,37.7,34.15,3.90,8.59,1.22,0.25,0.70,3.69,0.43,0.17,2.76,5.69,.251,.309,.363,.672,0.78,1.04,.980
1969,AL West,71,91,3,163,36.7,32.61,3.24,7.49,0.93,0.18,0.54,2.94,0.33,0.24,3.17,5.70,.230,.300,.319,.619,0.83,1.01,.978
1968,AL,67,95,8,162,36.7,32.91,3.07,7.46,1.05,0.20,0.51,2.80,0.38,0.31,2.76,6.67,.227,.291,.318,.609,0.86,0.96,.977
1967,AL,84,77,5,161,36.7,32.96,3.52,7.86,1.06,0.23,0.71,3.25,0.25,0.22,2.81,6.34,.238,.301,.349,.650,0.69,0.84,.982
1966,AL,80,82,6,162,37.3,33.09,3.73,7.68,1.10,0.33,0.75,3.47,0.49,0.33,3.24,6.56,.232,.303,.354,.657,0.84,1.15,.979
1965,AL,75,87,7,162,36.8,33.05,3.25,7.90,1.23,0.22,0.57,3.00,0.66,0.35,2.73,6.01,.239,.297,.341,.638,0.76,0.92,.981
1964,AL,82,80,5,162,36.9,33.10,3.36,8.01,1.15,0.17,0.63,3.14,0.30,0.24,2.91,5.68,.242,.304,.344,.648,0.85,1.04,.978
1963,AL,70,91,9,161,38.1,34.20,3.71,8.56,1.29,0.24,0.59,3.42,0.27,0.19,2.78,5.69,.250,.309,.354,.663,1.01,0.96,.974
1962,AL,86,76,3,162,38.7,33.94,4.43,8.50,1.43,0.22,0.85,4.12,0.28,0.17,3.72,5.66,.250,.325,.380,.705,1.08,0.94,.973
1961,AL,70,91,8,162,38.6,33.48,4.59,8.22,1.35,0.14,1.17,4.32,0.23,0.17,4.20,6.59,.245,.331,.398,.729,1.19,0.95,.969